ZCTA,DATE,AVG,DP
90011,2013-01-01,11.163172245025649,-1.215082917962946
90011,2013-01-02,12.01618409156797,-3.5881793052799447
90011,2013-01-03,13.505090475082394,-5.190248575755275
90011,2013-01-04,13.173549652099595,-2.5827795454864324
90011,2013-01-05,11.969833135604855,-3.590601947718819
90011,2013-01-06,11.503252506256105,6.4224077058678075
90011,2013-01-07,13.42428183555604,-1.1928714321990852
90011,2013-01-08,14.41877841949461,-2.426179871383006
90011,2013-01-09,14.039696693420435,0.4076306201490479
90011,2013-01-10,11.793657541275005,3.7717920677367505
90011,2013-01-11,9.951602458953834,3.2610127481869333
90011,2013-01-12,9.052760243415815,-1.7894374887051583
90011,2013-01-13,8.597172975540145,-3.6041208527084643
90011,2013-01-14,7.991298615932475,-4.776669606225588
90011,2013-01-15,9.05857348442079,-5.242871341419374
90011,2013-01-16,12.53660321235656,-5.197866635169525
90011,2013-01-17,16.264074325561516,-5.183335699235233
90011,2013-01-18,18.249525547027606,-2.798966820963441
90011,2013-01-19,18.214374065399184,-3.0539622466907494
90011,2013-01-20,18.452391624450676,-3.8440583352188433
90011,2013-01-21,17.96408557891848,-4.650688417905781
90011,2013-01-22,18.658276081085198,-3.086308912278785
90011,2013-01-23,18.9294238090515,6.8110897441151925
90011,2013-01-24,15.90769910812375,11.159201291810172
90011,2013-01-25,16.9627299308777,14.843228972747786
90011,2013-01-26,16.096254348754847,12.957082422242554
90011,2013-01-27,13.47219276428225,10.465172948075677
90011,2013-01-28,12.024506330490091,7.6170433394015955
90011,2013-01-29,11.284245252609255,5.053154436876639
90011,2013-01-30,13.535444736480706,3.1734710279840304
90011,2013-01-31,16.57266759872439,3.787139790005207
90011,2013-02-01,16.94313621520995,6.261248460204381
90011,2013-02-02,18.58613681793215,9.983937328393157
90011,2013-02-03,18.45605993270875,9.61291105197746
90011,2013-02-04,14.8936457633972,6.9931133863734845
90011,2013-02-05,13.47321701049805,10.999571790105778
90011,2013-02-06,13.53194046020506,8.95703626646425
90011,2013-02-07,11.743612766265855,6.399054682436332
90011,2013-02-08,9.70755290985106,6.283665872610897
90011,2013-02-09,9.101637482643104,1.250166419055452
90011,2013-02-10,10.003021001815775,4.544169227279607
90011,2013-02-11,11.350497961044315,2.462442155492453
90011,2013-02-12,11.583081007003775,1.3513015831213913
90011,2013-02-13,12.750849246978767,1.1689669527403757
90011,2013-02-14,15.34658455848693,1.451761302847277
90011,2013-02-15,18.517166614532492,2.845047338282296
90011,2013-02-16,19.30652284622195,4.506971071113198
90011,2013-02-17,14.601317405700675,3.6434447099278326
90011,2013-02-18,14.41321277618405,10.558880688002754
90011,2013-02-19,11.27861690521242,8.436146722312069
90011,2013-02-20,10.733834505081175,0.8278840147968047
90011,2013-02-21,11.998416185379044,1.43701376040996
90011,2013-02-22,12.413564920425431,-0.8472906342212606
90011,2013-02-23,12.091350793838494,0.8619011707487779
90011,2013-02-24,13.803939342498765,1.4534868322457881
90011,2013-02-25,13.675559520721425,-1.135158920128649
90011,2013-02-26,14.08418226242064,-2.5287864962909414
90011,2013-02-27,16.74832963943483,0.49303845883465824
90011,2013-02-28,18.13209104537962,-2.0608777963323663
90011,2013-03-01,20.259005069732652,-2.1669758234840795
90011,2013-03-02,20.9561324119568,1.4434487380502947
90011,2013-03-03,17.0699954032898,6.443704807175504
90011,2013-03-04,15.82832050323485,5.384433585352754
90011,2013-03-05,14.58140993118285,7.280138317941998
90011,2013-03-06,13.52436208724978,7.221168737078038
90011,2013-03-07,13.78416776657105,10.38516949965052
90011,2013-03-08,11.433255434036246,6.288429692471721
90011,2013-03-09,13.098980903625495,4.035276576629395
90011,2013-03-10,14.38661932945252,0.9112357375835362
90011,2013-03-11,16.4273018836975,1.2021825269941022
90011,2013-03-12,16.629475116729715,1.7492982113045297
90011,2013-03-13,19.18026447296145,2.154754637397879
90011,2013-03-14,18.5309772491455,3.6653108643386214
90011,2013-03-15,17.8618626594543,4.811221887013806
90011,2013-03-16,15.62795686721805,7.3253330044956
90011,2013-03-17,15.4903001785278,8.46808490518005
90011,2013-03-18,15.445063114166249,9.53490417610295
90011,2013-03-19,15.026907444000251,5.722855642425333
90011,2013-03-20,16.2356643676758,5.916081216512767
90011,2013-03-21,16.88890552520755,4.983645727784968
